,text,words,label
0,let demystifi common type firmwar use wild today find updat paper firmsec malwar ransomwar,"['let', 'demystifi', 'common', 'type', 'firmwar', 'use', 'wild', 'today', 'find', 'updat', 'paper', 'firmsec', 'malwar', 'ransomwar']",5
1,let demystifi common type firmwar use wild today find updat paper firmsec malwar ransomwar,"['let', 'demystifi', 'common', 'type', 'firmwar', 'use', 'wild', 'today', 'find', 'updat', 'paper', 'firmsec', 'malwar', 'ransomwar']",5
2,rise here quick look common type cybercrim cybercrimin itsecur phish malwar,"['rise', 'here', 'quick', 'look', 'common', 'type', 'cybercrim', 'cybercrimin', 'itsecur', 'phish', 'malwar']",1
3,rise here quick look common type cybercrim cybercrimin itsecur phish malwar,"['rise', 'here', 'quick', 'look', 'common', 'type', 'cybercrim', 'cybercrimin', 'itsecur', 'phish', 'malwar']",1
4,cybercrim rate nearli result covid pandem stay ahead happen learn,"['cybercrim', 'rate', 'nearli', 'result', 'covid', 'pandem', 'stay', 'ahead', 'happen', 'learn']",0
5,rise here quick look common type cybercrim cybercrimin itsecur phish malwar,"['rise', 'here', 'quick', 'look', 'common', 'type', 'cybercrim', 'cybercrimin', 'itsecur', 'phish', 'malwar']",1
6,rise here quick look common type cybercrim cybercrimin itsecur phish malwar,"['rise', 'here', 'quick', 'look', 'common', 'type', 'cybercrim', 'cybercrimin', 'itsecur', 'phish', 'malwar']",1
7,disrupt rise happen find twitterspac event featur dpn global ambassador est,"['disrupt', 'rise', 'happen', 'find', 'twitterspac', 'event', 'featur', 'dpn', 'global', 'ambassador', 'est']",0
8,disrupt rise happen find twitterspac event featur dpn global ambassador est,"['disrupt', 'rise', 'happen', 'find', 'twitterspac', 'event', 'featur', 'dpn', 'global', 'ambassador', 'est']",0
9,check new blog privileg essenti compon protect org,"['check', 'new', 'blog', 'privileg', 'essenti', 'compon', 'protect', 'org']",0
10,check new blog privileg essenti compon protect org,"['check', 'new', 'blog', 'privileg', 'essenti', 'compon', 'protect', 'org']",0
11,continu univers govern institut privat compani health care provid excel inform protect ucsf phish scam,"['continu', 'univers', 'govern', 'institut', 'privat', 'compani', 'health', 'care', 'provid', 'excel', 'inform', 'protect', 'ucsf', 'phish', 'scam']",1
12,check new blog privileg essenti compon protect org,"['check', 'new', 'blog', 'privileg', 'essenti', 'compon', 'protect', 'org']",0
13,sponsor real threat financi data privaci product custom confid futur potenti innov,"['sponsor', 'real', 'threat', 'financi', 'data', 'privaci', 'product', 'custom', 'confid', 'futur', 'potenti', 'innov']",0
14,new post result data breach start spear phish campaign ransomwar malwar infosec,"['new', 'post', 'result', 'data', 'breach', 'start', 'spear', 'phish', 'campaign', 'ransomwar', 'malwar', 'infosec']",1
15,new post result data breach start spear phish campaign ransomwar malwar infosec,"['new', 'post', 'result', 'data', 'breach', 'start', 'spear', 'phish', 'campaign', 'ransomwar', 'malwar', 'infosec']",1
16,seem like huge deal yet complet unreport elsewher,"['seem', 'like', 'huge', 'deal', 'yet', 'complet', 'unreport', 'elsewher']",0
17,seem like huge deal yet complet unreport elsewher,"['seem', 'like', 'huge', 'deal', 'yet', 'complet', 'unreport', 'elsewher']",0
18,seem like huge deal yet complet unreport elsewher,"['seem', 'like', 'huge', 'deal', 'yet', 'complet', 'unreport', 'elsewher']",0
19,australia signal director set power strengthen system compani unabl defend law theinform,"['australia', 'signal', 'director', 'set', 'power', 'strengthen', 'system', 'compani', 'unabl', 'defend', 'law', 'theinform']",0
20,fin hacker set fake compani recruit via,"['fin', 'hacker', 'set', 'fake', 'compani', 'recruit', 'via']",0
21,disrupt rise happen find twitterspac event featur dpn global ambassador est,"['disrupt', 'rise', 'happen', 'find', 'twitterspac', 'event', 'featur', 'dpn', 'global', 'ambassador', 'est']",0
22,appli power deeplearn gt tech ai ml dl machinelearn data digit innov cyberthreat leadership startup ciso cio cto cdo,"['appli', 'power', 'deeplearn', 'gt', 'tech', 'ai', 'ml', 'dl', 'machinelearn', 'data', 'digit', 'innov', 'cyberthreat', 'leadership', 'startup', 'ciso', 'cio', 'cto', 'cdo']",0
23,last year spike octob learn read articl shweta sharma,"['last', 'year', 'spike', 'octob', 'learn', 'read', 'articl', 'shweta', 'sharma']",0
24,appli power deeplearn gt tech ai ml dl machinelearn data digit innov cyberthreat leadership startup ciso cio cto cdo,"['appli', 'power', 'deeplearn', 'gt', 'tech', 'ai', 'ml', 'dl', 'machinelearn', 'data', 'digit', 'innov', 'cyberthreat', 'leadership', 'startup', 'ciso', 'cio', 'cto', 'cdo']",0
